Date,Adj_Close,Close,High,Low,Open,Volume
21-02-1973,0.352435797,2.265625,2.273437977,2.257812977,2.257812977,92800
22-02-1973,0.357297093,2.296875,2.304687977,2.265625,2.265625,35200
23-02-1973,0.36215806,2.328125,2.328125,2.28125,2.296875,92800
26-02-1973,0.360943258,2.320312977,2.390625,2.320312977,2.328125,284800
27-02-1973,0.364588916,2.34375,2.351562977,2.3125,2.320312977,280000
28-02-1973,0.369450122,2.375,2.375,2.328125,2.34375,113600
01-03-1973,0.37188074,2.390625,2.390625,2.375,2.375,144000
02-03-1973,0.37188074,2.390625,2.398437977,2.367187977,2.390625,124800
05-03-1973,0.373096019,2.398437977,2.414062977,2.390625,2.390625,129600
06-03-1973,0.375526667,2.414062977,2.429687977,2.398437977,2.398437977,132800
07-03-1973,0.379172236,2.4375,2.445312977,2.421875,2.421875,169600
08-03-1973,0.376741678,2.421875,2.429687977,2.421875,2.429687977,92800
09-03-1973,0.375526667,2.414062977,2.4375,2.414062977,2.421875,211200
12-03-1973,0.376741678,2.421875,2.4375,2.414062977,2.414062977,89600
13-03-1973,0.387679607,2.492187977,2.492187977,2.4375,2.4375,176000
14-03-1973,0.379172236,2.4375,2.5,2.4375,2.492187977,176000
15-03-1973,0.37188074,2.390625,2.445312977,2.390625,2.4375,115200
16-03-1973,0.357297093,2.296875,2.390625,2.28125,2.390625,438400
19-03-1973,0.353651226,2.273437977,2.28125,2.25,2.28125,312000
20-03-1973,0.354866505,2.28125,2.289062977,2.257812977,2.273437977,870400
21-03-1973,0.351220608,2.257812977,2.28125,2.257812977,2.28125,270400
22-03-1973,0.3475748,2.234375,2.25,2.226562977,2.25,158400
23-03-1973,0.343929023,2.210937977,2.234375,2.195312977,2.234375,761600
26-03-1973,0.334206551,2.148437977,2.1875,2.132812977,2.1875,257600
27-03-1973,0.340282977,2.1875,2.1875,2.125,2.148437977,273600
28-03-1973,0.335421622,2.15625,2.234375,2.15625,2.1875,473600
29-03-1973,0.334206551,2.148437977,2.15625,2.101562977,2.15625,108800
30-03-1973,0.331776232,2.132812977,2.148437977,2.132812977,2.148437977,75200
02-04-1973,0.329345345,2.117187977,2.140625,2.078125,2.132812977,166400
03-04-1973,0.32326898,2.078125,2.125,2.078125,2.117187977,126400
04-04-1973,0.340282977,2.1875,2.21875,2.078125,2.078125,750400
05-04-1973,0.340282977,2.1875,2.210937977,2.164062977,2.1875,150400
06-04-1973,0.342713475,2.203125,2.21875,2.1875,2.1875,145600
09-04-1973,0.342713475,2.203125,2.21875,2.1875,2.203125,99200
10-04-1973,0.358512282,2.304687977,2.304687977,2.203125,2.203125,200000
11-04-1973,0.365804374,2.351562977,2.359375,2.3125,2.3125,409600
12-04-1973,0.367019564,2.359375,2.398437977,2.359375,2.359375,305600
13-04-1973,0.364588916,2.34375,2.375,2.34375,2.359375,140800
16-04-1973,0.376741678,2.421875,2.421875,2.34375,2.34375,78400
17-04-1973,0.369450122,2.375,2.421875,2.375,2.421875,270400
18-04-1973,0.374311119,2.40625,2.40625,2.375,2.375,945600
19-04-1973,0.374311119,2.40625,2.4375,2.398437977,2.40625,176000
23-04-1973,0.374311119,2.40625,2.429687977,2.40625,2.40625,545600
24-04-1973,0.37066564,2.382812977,2.421875,2.382812977,2.40625,592000
25-04-1973,0.368234783,2.367187977,2.382812977,2.367187977,2.382812977,72000
26-04-1973,0.364588916,2.34375,2.382812977,2.34375,2.367187977,1670400
27-04-1973,0.369450122,2.375,2.375,2.351562977,2.351562977,371200
30-04-1973,0.37188074,2.390625,2.40625,2.375,2.375,105600
01-05-1973,0.367019564,2.359375,2.40625,2.359375,2.390625,489600
02-05-1973,0.369450122,2.375,2.414062977,2.359375,2.359375,300800
03-05-1973,0.375526667,2.414062977,2.429687977,2.390625,2.390625,243200
04-05-1973,0.377957374,2.429687977,2.460937977,2.429687977,2.429687977,363200
07-05-1973,0.37188074,2.390625,2.4375,2.390625,2.429687977,1014400
08-05-1973,0.375526667,2.414062977,2.429687977,2.40625,2.40625,121600
09-05-1973,0.376741678,2.421875,2.453125,2.421875,2.421875,308800
10-05-1973,0.379172236,2.4375,2.453125,2.414062977,2.421875,67200
11-05-1973,0.375526667,2.414062977,2.429687977,2.398437977,2.429687977,91200
14-05-1973,0.365804374,2.351562977,2.398437977,2.320312977,2.398437977,321600
15-05-1973,0.367019564,2.359375,2.367187977,2.328125,2.351562977,148800
16-05-1973,0.376741678,2.421875,2.421875,2.40625,2.40625,203200
17-05-1973,0.373096019,2.398437977,2.421875,2.398437977,2.421875,57600
18-05-1973,0.369450122,2.375,2.390625,2.375,2.390625,104000
21-05-1973,0.368234783,2.367187977,2.375,2.351562977,2.375,148800
22-05-1973,0.360943258,2.320312977,2.335937977,2.296875,2.335937977,281600
23-05-1973,0.358512282,2.304687977,2.34375,2.304687977,2.320312977,96000
24-05-1973,0.365804374,2.351562977,2.367187977,2.3125,2.3125,136000
25-05-1973,0.37188074,2.390625,2.40625,2.351562977,2.351562977,225600
29-05-1973,0.374311119,2.40625,2.40625,2.382812977,2.390625,91200
30-05-1973,0.374311119,2.40625,2.453125,2.40625,2.40625,150400
31-05-1973,0.374311119,2.40625,2.421875,2.375,2.40625,241600
01-06-1973,0.37066564,2.382812977,2.421875,2.382812977,2.40625,164800
04-06-1973,0.367019564,2.359375,2.382812977,2.34375,2.382812977,72000
05-06-1973,0.37188074,2.390625,2.390625,2.359375,2.359375,81600
06-06-1973,0.37188074,2.390625,2.421875,2.390625,2.390625,420800
07-06-1973,0.376741678,2.421875,2.421875,2.398437977,2.398437977,107200
08-06-1973,0.37188074,2.390625,2.421875,2.390625,2.421875,204800
11-06-1973,0.373096019,2.398437977,2.414062977,2.390625,2.390625,254400
12-06-1973,0.374311119,2.40625,2.421875,2.390625,2.398437977,344000
13-06-1973,0.373096019,2.398437977,2.429687977,2.398437977,2.40625,212800
14-06-1973,0.374311119,2.40625,2.421875,2.40625,2.40625,78400
15-06-1973,0.368234783,2.367187977,2.390625,2.359375,2.390625,803200
18-06-1973,0.36215806,2.328125,2.375,2.328125,2.367187977,65600
19-06-1973,0.363373637,2.335937977,2.335937977,2.304687977,2.328125,236800
20-06-1973,0.36215806,2.328125,2.359375,2.328125,2.335937977,128000
21-06-1973,0.356081903,2.289062977,2.335937977,2.28125,2.328125,166400
22-06-1973,0.359727502,2.3125,2.359375,2.289062977,2.289062977,696000
25-06-1973,0.356081903,2.289062977,2.320312977,2.257812977,2.3125,169600
26-06-1973,0.356081903,2.289062977,2.296875,2.273437977,2.289062977,28800
27-06-1973,0.356081903,2.289062977,2.3125,2.28125,2.289062977,91200
28-06-1973,0.356081903,2.289062977,2.296875,2.28125,2.289062977,508800
29-06-1973,0.34878999,2.242187977,2.273437977,2.242187977,2.273437977,667200
02-07-1973,0.343929023,2.210937977,2.25,2.195312977,2.242187977,228800
03-07-1973,0.343929023,2.210937977,2.226562977,2.171875,2.210937977,340800
05-07-1973,0.343929023,2.210937977,2.210937977,2.195312977,2.210937977,152000
06-07-1973,0.339067787,2.179687977,2.203125,2.179687977,2.203125,102400
09-07-1973,0.340282977,2.1875,2.1875,2.171875,2.179687977,169600
10-07-1973,0.337852359,2.171875,2.195312977,2.164062977,2.1875,294400
11-07-1973,0.340282977,2.1875,2.203125,2.179687977,2.179687977,160000
12-07-1973,0.340282977,2.1875,2.1875,2.164062977,2.1875,1172800
13-07-1973,0.339067787,2.179687977,2.1875,2.15625,2.1875,584000
16-07-1973,0.339067787,2.179687977,2.179687977,2.164062977,2.179687977,102400
17-07-1973,0.339067787,2.179687977,2.1875,2.164062977,2.179687977,984000
18-07-1973,0.340282977,2.1875,2.1875,2.164062977,2.179687977,110400
19-07-1973,0.340282977,2.1875,2.203125,2.164062977,2.1875,64000
20-07-1973,0.341498494,2.195312977,2.226562977,2.195312977,2.195312977,772800
23-07-1973,0.3475748,2.234375,2.234375,2.195312977,2.195312977,252800
24-07-1973,0.34878999,2.242187977,2.242187977,2.210937977,2.234375,188800
25-07-1973,0.34878999,2.242187977,2.273437977,2.234375,2.242187977,283200
26-07-1973,0.3475748,2.234375,2.25,2.226562977,2.242187977,132800
27-07-1973,0.343929023,2.210937977,2.226562977,2.1875,2.226562977,323200
30-07-1973,0.342713475,2.203125,2.226562977,2.164062977,2.210937977,75200
31-07-1973,0.339067787,2.179687977,2.195312977,2.164062977,2.195312977,390400
01-08-1973,0.33663708,2.164062977,2.179687977,2.15625,2.179687977,176000
02-08-1973,0.326914877,2.101562977,2.15625,2.101562977,2.15625,356800
03-08-1973,0.326914877,2.101562977,2.117187977,2.101562977,2.101562977,41600
06-08-1973,0.329345345,2.117187977,2.125,2.09375,2.101562977,176000
07-08-1973,0.330560595,2.125,2.140625,2.117187977,2.117187977,123200
08-08-1973,0.330560595,2.125,2.132812977,2.125,2.125,441600
09-08-1973,0.326914877,2.101562977,2.140625,2.101562977,2.125,206400
10-08-1973,0.32448411,2.085937977,2.117187977,2.085937977,2.101562977,243200
13-08-1973,0.320838392,2.0625,2.078125,2.046875,2.078125,329600
14-08-1973,0.317192316,2.039062977,2.0625,2.039062977,2.0625,160000
15-08-1973,0.319622934,2.054687977,2.054687977,2.03125,2.039062977,62400
16-08-1973,0.319622934,2.054687977,2.070312977,2.046875,2.054687977,241600
17-08-1973,0.319622934,2.054687977,2.070312977,2.039062977,2.054687977,59200
20-08-1973,0.32326898,2.078125,2.09375,2.054687977,2.054687977,97600
21-08-1973,0.320838392,2.0625,2.085937977,2.0625,2.078125,153600
22-08-1973,0.322053432,2.070312977,2.070312977,2.054687977,2.0625,148800
23-08-1973,0.320838392,2.0625,2.09375,2.054687977,2.070312977,150400
24-08-1973,0.32448411,2.085937977,2.101562977,2.0625,2.0625,81600
27-08-1973,0.32448411,2.085937977,2.101562977,2.070312977,2.085937977,107200
28-08-1973,0.322053432,2.070312977,2.09375,2.070312977,2.085937977,256000
29-08-1973,0.320838392,2.0625,2.085937977,2.046875,2.070312977,160000
